"term","beta","HR"
"p16=1",-0.863273659122329,0.421779058915471
"p16=2",-0.0212013560842352,0.979021812722673
"Stage0=2",0.529700471016831,1.69842350535614
"Age",0.0453496271953144,1.04639364363584
"Smoke=1",0.61640834820326,1.85226339531415
"Smoke=2",-0.0115868118966152,0.988480056694574
"interval_post",0.00558111684367724,1.005596720291
"LMR_pre_w",-0.00387784184008675,0.996129667279054
"ALB_pre_w",-0.0219924017559905,0.978247667987454
"ALB_L_w",-0.96300263637005,0.381744922191241
"HB_pre_w",-0.011046140922752,0.98901464367428
"LMR_dt_w",-13.3513099793054,1.59074200734141e-06
"LMR_dt_w'",8.65576059741576,5743.1355165939
